x,y,z,yaw,velocity,change_flag
331.2382,337.8203,2.4636,1.3066,10.0000,0
332.5437,342.6469,2.4574,1.3066,10.0000,0
333.2066,345.0978,2.4542,1.4845,10.0000,0
333.6352,350.0504,1.9171,1.4845,10.0000,0
334.0637,355.0030,1.3799,1.4845,10.0000,0
334.2528,357.1885,1.1428,1.5173,10.0000,0
334.5199,362.1812,1.0995,1.5173,10.0000,0
334.7870,367.1739,1.0562,1.5173,10.0000,0
334.8538,368.4212,1.0454,2.1803,10.0000,0
331.9915,372.5207,1.0848,2.1803,10.0000,0
329.1293,376.6202,1.1242,2.1803,10.0000,0
327.4253,379.0609,1.1476,2.6037,10.0000,0
323.1314,381.6225,1.1725,2.6037,10.0000,0
321.2544,382.7422,1.1834,3.0545,10.0000,0
316.2734,383.1769,1.1623,3.0545,10.0000,0
311.2924,383.6116,1.1413,3.0545,10.0000,0
310.7831,383.6560,1.1391,-3.1356,10.0000,0
305.7832,383.6260,1.1327,-3.1356,10.0000,0
300.7833,383.5960,1.1264,-3.1356,10.0000,0
295.7834,383.5661,1.1200,-3.1356,10.0000,0
290.7835,383.5361,1.1136,-3.1356,10.0000,0
285.7836,383.5061,1.1073,-3.1356,10.0000,0
280.7837,383.4761,1.1009,-3.1356,10.0000,0
276.8173,383.4523,1.0958,-3.0472,10.0000,0
271.8396,382.9811,1.0803,-3.0472,10.0000,0
269.3267,382.7433,1.0725,2.5369,10.0000,0
266.3525,384.7984,1.0055,1.9155,10.0000,0
264.6645,389.4997,0.7847,1.9155,10.0000,0
263.6756,392.2538,0.6554,3.1309,10.0000,0
258.6772,392.3072,0.5406,3.1309,10.0000,0
253.6788,392.3607,0.4257,3.1309,10.0000,0
253.6462,392.3610,0.4249,3.1411,10.0000,0
248.6466,392.3634,0.3617,3.1411,10.0000,0
243.6470,392.3658,0.2985,3.1411,10.0000,0
238.6474,392.3682,0.2353,3.1411,10.0000,0
237.2811,392.3688,0.2180,-3.1073,10.0000,0
