x,y,z,yaw,velocity,change_flag
331.7267,340.6162,2.4461,0.9386,10.0000,0
332.6978,341.9420,2.4653,1.4186,10.0000,0
333.4520,346.8585,1.9571,1.4186,10.0000,0
334.2062,351.7751,1.4488,1.4186,10.0000,0
334.2793,352.2519,1.3995,1.6566,10.0000,0
333.8510,357.2310,1.2417,1.6566,10.0000,0
333.4227,362.2101,1.0838,1.6566,10.0000,0
333.3222,363.3782,1.0468,1.8858,10.0000,0
331.7730,368.1321,1.0650,1.8858,10.0000,0
330.2238,372.8860,1.0832,1.8858,10.0000,0
328.6746,377.6399,1.1015,1.8858,10.0000,0
328.6739,377.6422,1.1015,2.3695,10.0000,0
325.0918,381.1303,1.1395,2.3695,10.0000,0
323.2009,382.9716,1.1595,-3.1355,10.0000,0
318.2010,382.9414,1.1543,-3.1355,10.0000,0
313.2011,382.9111,1.1491,-3.1355,10.0000,0
308.2012,382.8808,1.1438,-3.1355,10.0000,0
303.2013,382.8506,1.1386,-3.1355,10.0000,0
298.2014,382.8203,1.1333,-3.1355,10.0000,0
293.2015,382.7900,1.1281,-3.1355,10.0000,0
288.2015,382.7598,1.1229,-3.1355,10.0000,0
283.2016,382.7295,1.1176,-3.1355,10.0000,0
278.2017,382.6992,1.1124,-3.1355,10.0000,0
273.2018,382.6690,1.1071,-3.1355,10.0000,0
272.4042,382.6641,1.1063,2.8524,10.0000,0
267.6125,384.0898,1.0260,2.8524,10.0000,0
265.9123,384.5956,0.9975,1.7705,10.0000,0
264.9214,389.4920,0.7899,1.7705,10.0000,0
264.5369,391.3919,0.7094,3.1370,10.0000,0
259.5373,391.4150,0.6491,3.1370,10.0000,0
254.5377,391.4380,0.5888,3.1370,10.0000,0
249.5381,391.4611,0.5285,3.1370,10.0000,0
244.5385,391.4842,0.4682,3.1370,10.0000,0
239.5390,391.5073,0.4079,3.1370,10.0000,0
234.5394,391.5303,0.3476,3.1370,10.0000,0
229.5398,391.5534,0.2873,3.1370,10.0000,0
224.5402,391.5765,0.2270,3.1370,10.0000,0
219.5406,391.5996,0.1668,3.1370,10.0000,0
214.5410,391.6227,0.1065,3.1370,10.0000,0
209.5415,391.6457,0.0462,3.1370,10.0000,0
204.5419,391.6688,-0.0141,3.1370,10.0000,0
200.8093,391.6860,-0.0591,3.1385,10.0000,0
195.8095,391.7015,-0.1100,3.1385,10.0000,0
190.8098,391.7169,-0.1608,3.1385,10.0000,0
185.8101,391.7323,-0.2116,3.1385,10.0000,0
180.8104,391.7477,-0.2625,3.1385,10.0000,0
175.8107,391.7632,-0.3133,3.1385,10.0000,0
170.8109,391.7786,-0.3641,3.1385,10.0000,0
165.8112,391.7940,-0.4150,3.1385,10.0000,0
160.8115,391.8094,-0.4658,3.1385,10.0000,0
155.8118,391.8249,-0.5166,3.1385,10.0000,0
150.8121,391.8403,-0.5675,3.1385,10.0000,0
145.8124,391.8557,-0.6183,3.1385,10.0000,0
140.8126,391.8711,-0.6691,3.1385,10.0000,0
135.8129,391.8865,-0.7200,3.1385,10.0000,0
132.4444,391.8969,-0.7542,3.0419,10.0000,0
129.1044,392.2311,-0.8820,2.4496,10.0000,0
125.2574,395.4190,-1.0766,2.4496,10.0000,0
124.3772,396.1484,-1.1211,1.9088,10.0000,0
122.7193,400.8654,-1.1511,1.9088,10.0000,0
122.4060,401.7567,-1.1567,1.5522,10.0000,0
122.4991,406.7558,-1.1833,1.5522,10.0000,0
122.5921,411.7548,-1.2099,1.5522,10.0000,0
122.6851,416.7539,-1.2366,1.5522,10.0000,0
122.7097,418.0773,-1.2436,1.5687,10.0000,0
122.7204,423.0772,-1.2600,1.5687,10.0000,0
122.7310,428.0772,-1.2765,1.5687,10.0000,0
122.7417,433.0771,-1.2929,1.5687,10.0000,0
122.7524,438.0771,-1.3093,1.5687,10.0000,0
122.7631,443.0771,-1.3258,1.5687,10.0000,0
122.7737,448.0770,-1.3422,1.5687,10.0000,0
122.7844,453.0770,-1.3587,1.5687,10.0000,0
122.7951,458.0770,-1.3751,1.5687,10.0000,0
122.8057,463.0769,-1.3915,1.5687,10.0000,0
122.8164,468.0769,-1.4080,1.5687,10.0000,0
122.8271,473.0768,-1.4244,1.5687,10.0000,0
122.8377,478.0768,-1.4408,1.5687,10.0000,0
122.8484,483.0768,-1.4573,1.5687,10.0000,0
122.8591,488.0767,-1.4737,1.5687,10.0000,0
122.8698,493.0767,-1.4901,1.5687,10.0000,0
122.8804,498.0766,-1.5066,1.5687,10.0000,0
122.8826,499.1021,-1.5099,1.5804,10.0000,0
122.8346,504.1019,-1.5230,1.5804,10.0000,0
122.7866,509.1016,-1.5360,1.5804,10.0000,0
122.7387,514.1014,-1.5490,1.5804,10.0000,0
122.6907,519.1012,-1.5620,1.5804,10.0000,0
122.6427,524.1009,-1.5750,1.5804,10.0000,0
122.5947,529.1007,-1.5880,1.5804,10.0000,0
122.5858,530.0354,-1.5904,1.7599,10.0000,0
121.9048,533.5928,-1.6056,2.6416,10.0000,0
117.5168,535.9899,-1.5978,2.6416,10.0000,0
115.6951,536.9852,-1.5945,3.1140,10.0000,0
110.6970,537.1229,-1.5648,3.1140,10.0000,0
109.4890,537.1562,-1.5576,3.1383,10.0000,0
104.4890,537.1725,-1.5519,3.1383,10.0000,0
99.4890,537.1887,-1.5462,3.1383,10.0000,0
94.4891,537.2049,-1.5406,3.1383,10.0000,0
89.4891,537.2211,-1.5349,3.1383,10.0000,0
84.4891,537.2374,-1.5292,3.1383,10.0000,0
79.4892,537.2536,-1.5235,3.1383,10.0000,0
74.4892,537.2698,-1.5179,3.1383,10.0000,0
69.4892,537.2860,-1.5122,3.1383,10.0000,0
64.4892,537.3023,-1.5065,3.1383,10.0000,0
59.4893,537.3185,-1.5008,3.1383,10.0000,0
54.4893,537.3347,-1.4951,3.1383,10.0000,0
49.4893,537.3509,-1.4895,3.1383,10.0000,0
45.9921,537.3623,-1.4855,3.1330,10.0000,0
40.9924,537.4051,-1.5213,3.1330,10.0000,0
35.9927,537.4480,-1.5571,3.1330,10.0000,0
30.9930,537.4908,-1.5929,3.1330,10.0000,0
25.9933,537.5337,-1.6287,3.1330,10.0000,0
20.9936,537.5765,-1.6646,3.1330,10.0000,0
15.9939,537.6193,-1.7004,3.1330,10.0000,0
15.0661,537.6273,-1.7070,-2.8789,10.0000,0
10.2376,536.3289,-1.7091,-2.8789,10.0000,0
7.7021,535.6471,-1.7101,-1.5071,10.0000,0
8.0205,530.6573,-1.6752,-1.5071,10.0000,0
8.3389,525.6676,-1.6403,-1.5071,10.0000,0
8.6572,520.6779,-1.6054,-1.5071,10.0000,0
